name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Solarized Flare,csp_solarizedflare,Frigate,Midline,drone_pd_x2,4,1250,200,2000,,150,45,,125,80,60,45,80,200,FRONT,,180,0.60,0.80,,,15,25,20,20,1,30,10,17500,5,10,270,0.25,4,6,,"midline_bp,persean,sindrian_diktat",,0.7,1,2,778
Heliadae,csp_heliadae,Converted Carrier,Low Tech,flarelauncher_active,10,7500,1000,4500,,250,105,3,50,50,40,35,25,550,PHASE,csp_damper,,,,,,60,110,100,100,2,30,8,62500,5,5,330,0.25,10,10,COMBAT,base_bp,,0.5,2,4,780
Heliadae (XIVP),csp_heliadaexivp,Modified Carrier,Pirate,flarelauncher_active,10,8500,1000,5000,,275,105,3,50,50,40,35,25,550,PHASE,csp_damper,,,,,,60,110,100,100,2,30,8,10000,5,5,330,0.25,11,11,COMBAT,codex_unlockable,,0.5,2,4,812
Hesperides,csp_hesperides,Heavy Freighter,Low Tech,burndrive,9,6000,450,3000,,350,70,,30,15,10,10,10,2000,FRONT,,150,0.5,0.85,,,50,150,1100,80,6,40,7,81000,3,25,330,0.25,10,6,"CIVILIAN, FREIGHTER",base_bp,,0.6,2,3,781
Hesperides (P),csp_hesperidesp,Modified Heavy Combat Freighter,Pirate,burndrive,16,8000,700,7000,,450,145,2,55,35,30,30,30,600,FRONT,,120,0.6,1.0,,,150,350,300,80,6,40,8,167000,3,25,390,0.25,20,20,COMBAT,"rare_bp, pirate_bp, pirate",,0.6,2,4,781.1
Hesperides (XIVP),csp_hesperidesxivp,Modified Heavy Combat Freighter,Pirate,ammofeed,16,9000,700,8000,,475,145,3,55,35,30,30,30,600,FRONT,,120,0.6,1.0,,,150,350,300,80,6,40,8,247000,3,25,390,0.25,20,20,COMBAT,codex_unlockable,,0.6,2,4,781.1
Altergeist,csp_altergeist,Phaseified Cruiser,Low Tech,reservewing,18,7250,850,10000,6000,500,130,1,60,35,30,35,25,1150,PHASE,phasecloak,90,,,0.06,0.03,200,450,200,80,2,40,8,150000,5,20,480,0.25,22,30,COMBAT,,,0.4,1,3,789
Phasegon,csp_Phasegon,Phase Battleship,High Tech,temporalshell,30,14000,1600,25000,,1500,275,,50,20,20,15,20,2500,PHASE,phasecloak,90,,,0.04,0.03,500,900,350,250,4,35,7,625000,5,30,720,0.25,60,60,COMBAT,,,0.5,2,6,790
Vic Viper,csp_vicviperpilot,Super Fighter,High Tech,entropyamplifier,25,750,250,4000,,300,30,1,150,85,85,95,95,100,OMNI,,270,0,0.8,,,10,25,10,20,1,25,11,110000,3,20,360,0.25,15,25,HIDE_IN_CODEX,codex_unlockable,,0.3,0,2,761.1
Spectre,csp_battlephantom,Phase Combat Transport,High Tech,drone_strike,10,4000,500,4500,5000,350,70,2,90,90,70,45,60,350,PHASE,phasecloak,90,,,0.07,0.07,20,100,50,100,2,50,9,65000,5,20,360,0.25,13,15,COMBAT,,,0.5,2,3,793
